#UID,filename,consideredRecs,unconsideredRecs,avgDxDt,stdevDxDt,avgDyDt,stdevDyDt,dtMax,DxDtMax,DyDtMax,MinX,MinY,MaxX,MaxY,AreaX,AreaY,AreaDiagonal
#Num,538,,,,,,,,,,,,,,,,
1,new_abboip.txt,3001,0,279.7956601,3036.800814,223.5230757,985.7598874,31731,164775.1103,50828.4795,37.61393,-122.50297,37.80851,-122.38413,17607.96619,21660.54652,13229.20829
2,new_abcoij.txt,3001,0,29.19371756,106.6603817,37.33609505,161.9464552,185712,1600.571879,5546.493629,37.70846,-122.49979,37.80654,-122.3794,14625.56449,10918.21566,13401.7535
3,new_abdremlu.txt,3001,0,493.7569883,691.397027,384.4685404,515.1124286,20302,7838.916143,8635.211929,37.38463,-122.50833,37.8908,-122.00312,63774.47906,56346.58665,56239.71994
4,new_abgibo.txt,3001,0,286.8429544,1399.93089,375.6165807,2536.764485,17055,41544.43396,79782.67905,37.6138,-122.51005,37.82788,-122.2497,31667.5475,23831.27659,28982.02943
5,new_abjoolaw.txt,3001,0,323.2016135,1022.834594,319.4982465,1347.914718,13674,30390.22099,44501.07964,37.61406,-122.51686,37.99972,-122,61931.31832,42931.47482,57536.59201
6,new_abmuyawm.txt,3001,0,313.7803678,1641.746666,298.0838386,1245.187728,97448,74806.69781,47422.10308,37.60155,-122.51777,37.88044,-122.26103,33066.46102,31045.89279,28580.16607
7,new_abniar.txt,3001,0,315.6384475,974.3880934,676.0008915,16768.38681,7153,39407.09974,901220.3336,37.55359,-123.49799,37.86628,-122.17748,148204.9481,34808.49158,146998.5008
9,new_abtyff.txt,3001,0,329.8480958,874.3648839,314.0230169,752.3268443,17800,36134.30671,19970.71665,37.55913,-122.51668,37.93451,-122.19552,42169.64714,41787.11045,35751.36766
10,new_abwecnij.txt,3001,0,337.9363219,526.7117664,316.8368873,1800.898344,18472,8348.961809,94777.41446,37.43626,-122.51729,37.88815,-122.21564,43043.73538,50304.16469,33579.5244
8,new_abnovkak.txt,3001,0,85.01273864,766.1483888,71.35401593,820.8148555,36598,37603.72399,39774.45406,37.6148,-122.47651,37.80898,-122.38583,15371.42301,21616.01872,10094.45143
15,new_acitva.txt,3001,1,524.2197631,3839.683965,433.2126476,3506.551069,27238,159097.8162,159966.1083,37.49247,-122.51662,37.90291,-122.243,39069.83829,45689.9718,30459.23907
16,new_ackgrica.txt,3001,1,396.826943,2448.80267,715.7251893,20972.94536,33148,126473.7841,1148483.187,37.27299,-122.54637,37.90744,-122.0057,71026.57663,70626.65093,60187.10909
14,new_acgerl.txt,3001,0,256.3913785,690.178069,261.1864753,813.8282738,62390,20712.84659,33529.43063,37.32318,-122.51316,37.82999,-122.00037,64537.93717,56417.83113,57083.52168
13,new_acduou.txt,3001,0,300.4794155,1539.788749,326.0852128,1212.542843,22757,60813.83782,40903.2337,37.55414,-122.50518,37.83587,-122.18889,39003.29727,31362.04014,35209.24174
12,new_acdiyito.txt,3001,0,295.1866852,1199.349662,270.8876254,1464.718303,43170,59978.94164,77745.53237,37.55147,-122.47619,37.89395,-122.26031,31529.34237,38124.69921,24031.65167
11,new_abyalwif.txt,3001,0,235.8729149,433.388362,244.0330891,334.8822449,93320,10018.75417,9150.462143,37.61406,-122.51009,37.80874,-122.38434,18197.53915,21671.67847,13998.42597
17,new_acpegho.txt,3001,0,341.3345087,1161.820617,291.3294284,886.1668188,15994,56639.35692,43481.3931,37.61375,-122.4967,37.80908,-122.38418,17115.50881,21744.03614,12525.6691
18,new_acvebr.txt,3001,0,262.1578535,927.3399497,324.2196329,1880.365307,64221,25737.06627,56349.92624,37.55216,-122.50525,37.86628,-122.2641,32732.21142,34967.67845,26844.6952
19,new_adkavy.txt,3001,0,404.418076,694.176928,307.2946158,466.6273065,38201,18423.37573,12512.31077,37.49853,-122.48034,37.83787,-122.254,32307.76719,37775.15601,25196.05355
20,new_adnerst.txt,3001,0,302.3381244,578.6143991,305.751807,767.5947672,17375,19236.00801,27985.71999,37.61381,-122.50605,37.93446,-122.19664,39384.85736,35694.59472,34443.36365
21,new_adpaifo.txt,3001,0,187.6796721,845.929306,221.2984225,409.2549896,11666,42947.05955,12356.46348,37.61421,-122.5138,37.80845,-122.38453,18484.54359,21622.69789,14390.27057
22,new_aducrisi.txt,3001,0,307.318928,952.1458633,331.5222642,1803.39449,44086,44531.8443,93259.42141,37.52247,-122.51081,37.89618,-122.00492,60534.35413,41601.2069,56315.4172
24,new_afpansh.txt,3001,0,214.6849974,659.8134226,336.0882015,1880.207968,13608,23711.05154,88899.74535,37.58938,-122.49601,37.82567,-122.18781,37082.24579,26303.68248,34308.66706
23,new_afmorc.txt,3001,0,283.8890881,1172.571428,300.9902649,782.8121575,21751,59177.44131,33061.88877,37.43756,-122.49103,37.86156,-122.12543,47882.51272,47199.4641,40698.40583
25,new_afsfat.txt,3001,0,465.4064943,6004.75527,282.6533681,641.2546279,40761,269870.5057,16163.59006,34.71077,-122.51058,37.80861,-122.1919,187893.2967,344849.9714,35475.29533
26,new_afweka.txt,3001,0,229.3114333,465.8967203,249.6908897,401.274863,20672,10152.33756,10553.08773,37.61351,-122.5075,37.82719,-122.2508,31286.29781,23786.74879,28575.71329
27,new_agcowktu.txt,3001,0,815.3031549,25837.41869,331.6280421,3148.556898,48540,1390888.057,168706.9147,34.66292,-122.50313,37.85877,-122.03082,197049.7565,355760.3947,52577.3087
29,new_aggjuo.txt,3001,0,257.5638366,684.4331529,300.3427634,1713.96127,42479,17232.25717,86895.99451,37.5571,-122.50893,37.82443,-122.19004,38906.40989,29759.03947,35498.67242
28,new_agdrea.txt,3001,0,429.7784153,1223.987307,389.4384705,1497.358678,35298,37179.40028,61110.47152,37.40593,-122.50606,37.85883,-122.09174,53412.83579,50416.59738,46121.89143
30,new_agivle.txt,3001,0,339.6866886,802.3772316,335.6162599,717.5419821,16740,24712.92696,26649.8861,37.30107,-122.51121,37.86189,-122.00057,65888.95091,62430.19683,56844.18478
31,new_agjitfa.txt,3001,0,270.5489301,518.1959514,275.3830899,736.3728312,23927,11198.74077,23310.30137,37.6148,-122.51376,37.97661,-122.23222,38043.39693,40276.50496,31340.88944
