#NUM,715,
#TIME,UID,dx/dt,dy/dt
#TU=60
1,9,0,90
2,19,-80,40
3,22,90,-100
4,28,0,-60
5,34,-40,-160
6,37,100,10
7,42,-80,0
8,50,0,-110
9,53,-10,-190
10,59,0,-80
11,61,20,-110
12,69,-30,190
13,74,10,-80
14,79,0,80
15,87,90,-50
16,92,30,-10
17,93,30,-30
18,104,60,-40
19,109,40,-30
20,116,-100,-50
21,120,-190,0
22,127,-30,-40
23,133,130,-110
24,137,150,0
25,148,70,0
26,153,-200,0
27,160,80,-40
28,166,10,50
29,169,0,70
30,176,0,-70
31,180,0,-90
32,186,210,0
33,194,110,-60
34,204,0,-60
35,211,20,0
36,215,0,-110
37,218,-90,0
38,226,-190,0
39,231,-150,10
40,236,0,-60
41,242,30,-160
42,249,100,-90
43,252,80,-40
44,258,10,-70
45,261,-160,0
46,267,60,60
47,274,170,0
48,280,80,140
49,290,20,-60
50,296,60,70
51,301,110,-100
52,308,30,30
53,313,50,-200
54,319,30,-190
55,323,70,50
56,329,-130,0
57,333,100,60
58,339,70,-50
59,348,0,120
60,349,170,0
61,355,0,-50
62,363,0,130
63,367,120,-60
64,373,30,60
65,385,0,110
66,395,0,-150
67,406,-30,-30
68,415,0,-220
69,422,-140,10
70,429,60,0
71,432,0,-110
72,437,10,-130
73,439,0,-60
74,444,20,120
75,449,-90,10
76,451,0,-70
77,455,150,0
78,463,90,0
79,467,-70,-40
80,474,10,120
81,480,110,0
82,484,70,0
83,492,0,-110
84,501,20,-170
85,507,-10,-20
86,511,-10,70
87,514,20,-170
88,517,60,-70
89,524,0,120
90,527,0,160
91,532,90,0
92,539,0,-190
93,545,50,50
94,554,0,-60
95,558,-30,-220
96,566,-40,120
97,575,-10,-60
98,581,40,30
99,587,-60,-40
100,596,0,-60
101,604,130,0
102,612,10,-100
103,617,30,0
104,627,20,-140
105,642,50,-40
106,651,0,-30
107,654,70,10
108,659,0,-160
109,667,30,-60
110,676,90,100
111,681,0,-150
112,685,-70,-10
113,692,-10,-180
114,697,10,120
115,702,70,70
116,713,10,-160
117,713,0,-90
118,720,-70,60
119,726,-160,-10
120,732,0,-100
121,737,30,30
122,742,100,-60
123,746,-100,-80
124,756,20,-30
125,765,-120,10
126,770,-180,0
127,773,10,70
128,781,0,100
129,786,-10,-80
130,795,-70,40
131,803,-20,120
132,808,-10,-210
133,816,40,-30
134,821,0,-140
135,825,0,160
136,830,-50,-20
137,839,10,-180
138,846,-20,-180
139,849,0,90
140,855,-120,140
141,860,0,-180
142,864,50,-50
143,872,160,100
144,875,140,0
145,879,-80,-60
146,885,140,-70
147,889,0,-160
148,890,70,60
149,896,80,150
150,902,0,130
151,911,10,-100
152,919,-150,80
153,925,0,130
154,937,0,-80
155,944,-40,-110
156,954,90,-60
157,959,50,50
158,963,-60,60
159,969,-20,130
160,973,0,-60
161,980,-40,160
162,982,-110,-110
163,992,0,-80
164,1000,200,0
165,1003,-160,-110
166,1004,30,30
167,1009,-200,-40
168,1016,0,-110
169,1023,0,-80
170,1027,90,0
171,1031,130,-150
172,1037,30,-10
173,1042,50,-30
174,1048,120,0
175,1056,-10,-90
176,1061,60,40
177,1067,0,-180
178,1071,60,-50
179,1075,-30,140
180,1082,0,-190
181,1091,10,-70
182,1093,10,120
183,1101,-110,0
184,1113,-10,-80
185,1117,0,160
186,1124,90,-90
187,1132,10,-60
188,1137,0,-110
189,1144,-90,-70
190,1152,70,-60
191,1156,-130,20
192,1164,-30,60
193,1164,-70,70
194,1169,100,-120
195,1177,-70,-100
196,1181,0,-70
197,1188,20,-180
198,1194,-120,110
199,1203,0,70
200,1212,-90,-80
201,1215,0,110
202,1221,0,-60
203,1227,-50,-190
204,1232,-20,-100
205,1240,0,-60
206,1246,-90,-80
207,1249,-20,-10
208,1254,90,10
209,1257,90,-100
210,1259,-130,80
211,1264,0,80
212,1273,160,0
213,1281,10,-210
214,1285,70,0
215,1289,-100,10
216,1299,10,-210
217,1308,-40,50
218,1315,140,110
219,1321,-90,110
220,1326,0,-50
221,1329,-130,50
222,1343,-30,-90
223,1353,-110,0
224,1356,-50,0
225,1360,0,-80
226,1363,-70,60
227,1371,40,-140
228,1372,10,150
229,1377,0,70
230,1383,30,-100
231,1389,-10,-130
232,1397,-10,-120
233,1399,-90,40
234,1411,90,-110
235,1416,20,70
236,1422,-30,-50
237,1428,100,-140
238,1440,-10,70
239,1443,190,0
240,1446,0,-110
241,1452,0,-40
242,1459,-10,-70
243,1466,-10,-60
244,1475,30,60
245,1480,0,130
246,1491,150,-10
247,1498,0,90
248,1502,80,90
249,1511,200,0
250,1513,0,80
251,1520,-110,-100
252,1523,-20,-140
253,1529,-80,0
254,1539,0,-80
255,1541,10,110
256,1545,0,70
257,1554,-20,140
258,1558,0,150
259,1562,0,60
260,1569,-60,-80
261,1574,70,140
262,1581,30,-50
263,1587,-30,20
264,1595,-150,0
265,1601,0,-60
266,1603,0,150
267,1604,-70,-70
268,1607,60,50
269,1610,150,10
270,1614,-10,-70
271,1626,-10,-110
272,1632,0,-150
273,1639,-140,0
274,1646,40,40
275,1648,-140,0
276,1652,-70,80
277,1660,-60,40
278,1661,-10,80
279,1665,0,120
280,1670,10,-60
281,1678,-70,-50
282,1687,40,120
283,1695,0,80
284,1700,110,10
285,1706,10,-150
286,1714,-20,30
287,1724,10,-130
288,1728,0,-90
289,1732,0,-60
290,1736,130,-110
291,1741,-50,-80
292,1750,0,-80
293,1753,30,200
294,1761,10,80
295,1768,-110,0
296,1773,0,-170
297,1780,-50,50
298,1786,-30,-20
299,1792,-20,-190
300,1798,-10,110
301,1805,-70,0
302,1811,100,-70
303,1821,90,0
304,1831,50,40
305,1834,40,100
306,1840,-100,10
307,1841,-80,-40
308,1845,-20,-70
309,1851,-10,-170
310,1857,10,60
311,1865,0,-200
312,1874,110,60
313,1882,-70,50
314,1885,-10,-70
315,1887,60,90
316,1893,0,-90
317,1905,0,230
318,1911,120,10
319,1917,50,-40
320,1919,-10,-120
321,1927,-10,120
322,1934,10,80
323,1943,170,100
324,1951,0,70
325,1955,-10,80
326,1964,0,-190
327,1967,-80,-60
328,1975,0,50
329,1984,0,150
330,1992,80,-60
331,1993,-10,-80
332,1997,0,-170
333,2004,-160,30
334,2007,70,-60
335,2013,-140,120
336,2018,110,0
337,2024,0,-90
338,2034,80,70
339,2045,60,90
340,2049,-60,40
341,2060,0,-130
342,2063,-90,0
343,2067,0,-50
344,2075,0,-190
345,2080,0,-70
346,2085,-60,60
347,2092,180,0
348,2099,50,20
349,2111,-50,-20
350,2115,0,120
351,2119,-20,160
352,2131,0,90
353,2136,-80,-50
354,2145,0,130
355,2149,60,10
356,2157,0,-80
357,2166,-100,-80
358,2176,0,-30
359,2181,0,-140
360,2190,-80,60
361,2195,70,110
362,2202,40,-120
363,2211,-10,90
364,2217,0,90
365,2222,110,100
366,2231,-110,-40
367,2237,0,-60
368,2244,0,-200
369,2255,-120,0
370,2259,40,50
371,2265,0,210
372,2275,-10,-110
373,2282,10,-90
374,2288,-40,70
375,2296,180,-80
376,2301,-70,40
377,2306,-120,60
378,2310,-110,0
379,2315,-60,-40
380,2320,30,190
381,2329,60,-100
382,2335,0,-90
383,2340,100,60
384,2341,90,70
385,2342,0,80
386,2343,-30,-90
387,2345,40,-70
388,2352,-60,-20
389,2360,-130,-120
390,2370,-130,100
391,2374,-10,-80
392,2378,20,150
393,2389,60,60
394,2395,10,-70
395,2398,20,-20
396,2401,30,-20
397,2408,-10,0
398,2411,0,-160
399,2418,110,130
400,2427,0,80
401,2435,-10,-50
402,2440,130,0
403,2447,50,50
404,2451,-60,-60
405,2459,10,-160
406,2465,-30,-10
407,2471,0,80
408,2475,-50,-70
409,2483,0,-110
410,2488,-140,0
411,2494,0,-40
412,2501,-60,40
413,2509,0,70
414,2513,-120,60
415,2517,10,60
416,2520,110,50
417,2524,0,150
418,2531,0,100
419,2535,0,-50
420,2540,10,-140
421,2546,40,30
422,2550,-100,70
423,2556,90,70
424,2559,40,40
425,2569,110,-60
426,2575,30,150
427,2586,-100,-50
428,2592,-10,-90
429,2604,-100,-70
430,2613,-30,10
431,2620,10,-70
432,2622,80,0
433,2634,0,-30
434,2638,-140,-30
435,2645,-90,-130
436,2651,0,-30
437,2654,100,30
438,2659,-10,-190
439,2663,-10,90
440,2668,0,-160
441,2676,140,20
442,2683,-10,50
443,2691,10,100
444,2697,-70,-40
445,2700,10,60
446,2706,140,-40
447,2711,-100,-40
448,2716,0,-70
449,2721,-70,0
450,2724,-90,-90
451,2733,-10,-70
452,2736,0,-60
453,2738,10,150
454,2741,100,0
455,2748,50,-110
456,2751,-30,-170
457,2754,40,0
458,2762,10,160
459,2768,0,-150
460,2770,70,-60
461,2774,90,170
462,2781,-120,90
463,2789,0,90
464,2791,-20,-130
465,2799,-150,20
466,2805,70,0
467,2810,-90,-120
468,2819,-40,30
469,2821,80,-50
470,2828,100,-70
471,2833,-50,-50
472,2838,-20,-20
473,2844,160,-70
474,2849,-50,30
475,2854,0,70
476,2858,170,0
477,2864,-100,100
478,2873,-30,20
479,2878,-10,-50
480,2882,-30,-140
481,2896,-20,40
482,2903,100,90
483,2907,-120,-60
484,2909,80,60
485,2914,-130,10
486,2919,100,0
487,2928,60,40
488,2931,80,0
489,2935,-50,30
490,2942,0,-70
491,2950,0,40
492,2960,-40,30
493,2969,50,40
494,2972,140,90
495,2976,60,100
496,2978,-80,0
497,2981,70,70
498,2986,180,70
499,2992,0,-120
500,2995,70,-50
501,2999,-70,-100
502,3009,-40,40
503,3013,50,110
504,3023,140,-50
505,3026,0,-60
506,3037,20,-100
507,3040,-70,-100
508,3048,70,0
509,3053,30,-70
510,3058,-10,-80
511,3065,40,0
512,3069,-90,-10
513,3072,-110,-60
514,3077,-80,50
515,3086,-20,-110
516,3090,0,120
517,3096,-10,70
518,3105,-90,0
519,3110,180,30
520,3117,50,-40
521,3124,-40,210
522,3133,110,70
523,3140,0,-90
524,3143,130,130
525,3150,-70,-70
526,3156,50,0
527,3161,-40,-150
528,3171,-10,-70
529,3178,30,-60
530,3188,110,0
531,3192,0,-100
532,3197,-90,-20
533,3201,30,-120
534,3208,-100,0
535,3217,0,100
536,3222,-20,-160
537,3224,-60,50
538,3231,70,60
