#TIME,UID,dx/dt,dy/dt
#TU=60
1,13,-10.0,60.0
2,19,190.0,10.0
3,34,0.0,-100.0
4,43,-60.0,0.0
5,60,120.0,0.0
6,69,-10.0,-140.0
7,77,0.0,50.0
8,88,20.0,-130.0
9,96,10.0,-150.0
10,102,40.0,0.0
11,111,-80.0,100.0
12,127,0.0,-160.0
13,137,0.0,60.0
14,150,0.0,-130.0
15,155,50.0,60.0
16,170,0.0,80.0
17,183,-10.0,-60.0
18,192,0.0,120.0
19,202,0.0,-30.0
20,207,-110.0,-40.0
21,215,-120.0,60.0
22,220,-60.0,50.0
23,229,-90.0,-10.0
24,234,-20.0,-150.0
25,243,-70.0,30.0
26,253,-20.0,150.0
27,262,-120.0,0.0
28,269,-10.0,-60.0
29,280,0.0,150.0
30,289,80.0,-50.0
31,298,0.0,-90.0
32,303,-160.0,10.0
33,310,-20.0,-120.0
34,320,-90.0,90.0
35,326,0.0,-160.0
36,330,30.0,-190.0
37,340,0.0,-70.0
38,349,-20.0,-100.0
39,356,0.0,-160.0
40,366,70.0,60.0
41,378,10.0,-70.0
42,388,150.0,-70.0
43,400,0.0,60.0
44,405,-20.0,-120.0
45,411,0.0,150.0
46,419,-10.0,-90.0
47,425,-10.0,100.0
48,431,140.0,100.0
49,443,10.0,70.0
50,453,0.0,-70.0
51,464,70.0,-80.0
52,479,0.0,-100.0
53,486,-10.0,80.0
54,497,0.0,100.0
55,500,10.0,60.0
56,505,0.0,-90.0
57,514,110.0,-90.0
58,525,40.0,-20.0
59,533,0.0,120.0
60,539,20.0,110.0
61,549,80.0,0.0
62,553,-10.0,-180.0
63,562,-10.0,140.0
64,567,-10.0,-60.0
65,577,-70.0,-90.0
66,587,0.0,-140.0
67,594,-50.0,30.0
68,599,30.0,-120.0
69,612,-60.0,-90.0
70,625,70.0,0.0
71,633,-130.0,50.0
72,638,-50.0,-80.0
73,647,0.0,-40.0
74,654,70.0,-140.0
75,663,140.0,80.0
76,675,0.0,110.0
77,681,20.0,-100.0
78,687,20.0,150.0
79,697,0.0,-80.0
80,709,10.0,-90.0
81,713,50.0,-160.0
82,720,60.0,-50.0
83,727,130.0,0.0
84,737,10.0,-120.0
85,743,0.0,-60.0
86,756,160.0,-100.0
87,760,100.0,-70.0
88,767,-20.0,-60.0
89,774,40.0,-40.0
90,786,-190.0,70.0
91,793,0.0,60.0
92,804,-50.0,-70.0
93,810,-20.0,140.0
94,822,0.0,-20.0
95,828,-90.0,-80.0
96,836,60.0,-110.0
97,847,0.0,-80.0
98,856,0.0,-90.0
99,863,10.0,-180.0
100,868,-20.0,110.0
101,880,-30.0,-170.0
102,894,170.0,0.0
103,902,0.0,-30.0
104,911,210.0,0.0
105,914,0.0,-180.0
106,926,0.0,-70.0
107,933,140.0,170.0
108,943,-20.0,130.0
109,953,0.0,-80.0
110,962,110.0,190.0
111,971,-60.0,40.0
112,978,0.0,-70.0
113,985,0.0,-130.0
114,999,-10.0,-60.0
115,1007,0.0,-90.0
116,1015,-130.0,70.0
117,1024,-90.0,-90.0
118,1036,-80.0,0.0
119,1052,0.0,-140.0
120,1057,60.0,-10.0
121,1065,-50.0,-50.0
122,1076,-170.0,-110.0
123,1088,0.0,100.0
124,1095,-30.0,10.0
125,1104,0.0,170.0
126,1118,-20.0,-50.0
127,1125,0.0,-30.0
128,1133,-40.0,-170.0
129,1145,130.0,0.0
130,1150,60.0,30.0
131,1155,70.0,-50.0
132,1159,0.0,-140.0
133,1170,-70.0,-50.0
134,1178,80.0,120.0
135,1186,-160.0,140.0
136,1195,70.0,-20.0
137,1206,-40.0,-160.0
138,1216,30.0,-100.0
139,1225,-90.0,60.0
140,1232,-100.0,50.0
141,1237,10.0,-130.0
142,1245,0.0,-60.0
143,1252,80.0,0.0
144,1267,-100.0,80.0
145,1275,40.0,40.0
146,1283,130.0,10.0
147,1295,70.0,100.0
148,1308,0.0,50.0
149,1314,70.0,120.0
150,1328,-30.0,80.0
151,1335,30.0,10.0
152,1343,-140.0,-20.0
153,1348,-80.0,30.0
154,1360,-50.0,40.0
155,1368,-130.0,-60.0
156,1376,-40.0,-60.0
157,1383,60.0,40.0
158,1391,140.0,-130.0
159,1399,110.0,70.0
160,1415,50.0,-40.0
161,1420,0.0,-140.0
162,1430,60.0,100.0
163,1439,80.0,-40.0
164,1454,60.0,10.0
165,1468,80.0,-120.0
166,1475,-80.0,-20.0
167,1484,0.0,-140.0
168,1490,-10.0,120.0
169,1499,50.0,30.0
170,1508,-180.0,-10.0
171,1518,110.0,0.0
172,1526,40.0,-60.0
173,1530,-30.0,200.0
174,1535,0.0,-120.0
175,1543,50.0,0.0
176,1557,0.0,-120.0
177,1568,-20.0,-170.0
178,1575,40.0,0.0
179,1585,-70.0,-90.0
180,1593,10.0,-130.0
181,1599,0.0,90.0
182,1612,20.0,-40.0
183,1621,110.0,50.0
184,1625,0.0,-70.0
185,1633,0.0,-100.0
186,1646,-10.0,150.0
187,1651,-80.0,70.0
188,1660,20.0,-150.0
189,1668,-20.0,90.0
190,1678,20.0,-50.0
191,1683,-140.0,-100.0
192,1688,-20.0,110.0
193,1695,30.0,-90.0
194,1700,0.0,110.0
195,1709,90.0,90.0
196,1712,-60.0,40.0
197,1720,0.0,140.0
198,1731,30.0,-70.0
199,1742,0.0,-80.0
200,1745,30.0,160.0
201,1753,-10.0,-90.0
202,1760,80.0,0.0
203,1762,0.0,-190.0
204,1768,-10.0,-150.0
205,1775,-70.0,-10.0
206,1782,0.0,-130.0
207,1787,-20.0,200.0
208,1803,10.0,70.0
209,1806,-60.0,-60.0
210,1811,-160.0,150.0
211,1824,-60.0,0.0
212,1833,30.0,-110.0
213,1845,10.0,-120.0
214,1849,80.0,-40.0
215,1857,-50.0,-20.0
216,1868,120.0,0.0
217,1881,60.0,-20.0
218,1886,-20.0,140.0
219,1888,-120.0,-90.0
220,1894,30.0,-110.0
221,1903,110.0,60.0
222,1910,0.0,-150.0
223,1919,-30.0,-70.0
224,1930,20.0,-140.0
225,1940,90.0,120.0
226,1949,-20.0,100.0
227,1955,-100.0,90.0
228,1962,-110.0,-110.0
229,1970,40.0,-20.0
230,1977,150.0,110.0
231,1987,80.0,80.0
232,1996,0.0,-30.0
233,2003,120.0,150.0
234,2013,-120.0,-60.0
235,2026,40.0,40.0
236,2033,0.0,160.0
237,2040,90.0,110.0
238,2047,60.0,40.0
239,2060,-90.0,10.0
240,2071,-40.0,-40.0
241,2080,-20.0,-30.0
242,2090,110.0,100.0
243,2103,90.0,-60.0
244,2116,10.0,-20.0
245,2124,20.0,110.0
246,2132,0.0,-140.0
247,2147,10.0,100.0
248,2153,-70.0,-70.0
249,2160,120.0,-100.0
250,2168,70.0,0.0
251,2175,-130.0,0.0
252,2185,-170.0,-110.0
253,2191,70.0,0.0
254,2197,-100.0,90.0
255,2204,-160.0,20.0
256,2219,60.0,-50.0
257,2233,110.0,40.0
258,2239,80.0,110.0
259,2249,50.0,-40.0
260,2259,-200.0,30.0
261,2269,100.0,0.0
262,2284,-80.0,10.0
263,2298,-20.0,-150.0
264,2307,-10.0,-110.0
265,2315,0.0,-30.0
266,2323,0.0,130.0
267,2330,80.0,-90.0
268,2343,-80.0,0.0
269,2351,50.0,20.0
270,2358,50.0,110.0
271,2370,30.0,0.0
272,2374,-140.0,-90.0
273,2380,-20.0,-40.0
274,2387,10.0,-60.0
275,2396,0.0,-120.0
276,2408,0.0,-100.0
277,2413,20.0,-70.0
278,2417,-60.0,70.0
279,2426,-20.0,-140.0
280,2434,-40.0,50.0
281,2443,0.0,-140.0
282,2450,140.0,-20.0
283,2458,70.0,-10.0
284,2464,160.0,20.0
285,2470,-120.0,80.0
286,2474,-20.0,-30.0
287,2485,-60.0,-100.0
288,2493,-110.0,-80.0
289,2502,-30.0,40.0
290,2511,-10.0,-100.0
291,2515,20.0,90.0
292,2522,60.0,30.0
293,2529,0.0,140.0
294,2538,-70.0,70.0
295,2553,-50.0,-40.0
296,2564,50.0,-80.0
297,2572,150.0,-20.0
298,2578,10.0,50.0
299,2584,-70.0,0.0
300,2588,-90.0,-10.0
301,2592,0.0,60.0
302,2598,-30.0,-120.0
303,2612,20.0,180.0
304,2616,90.0,10.0
305,2621,120.0,-110.0
306,2628,10.0,-140.0
307,2636,-10.0,60.0
308,2641,50.0,120.0
309,2650,30.0,-120.0
310,2659,60.0,60.0
311,2669,-20.0,-190.0
312,2675,-100.0,0.0
313,2686,60.0,30.0
314,2695,90.0,-70.0
315,2705,0.0,-110.0
316,2714,-20.0,-60.0
317,2719,110.0,-50.0
318,2722,-40.0,60.0
319,2728,-50.0,20.0
320,2736,-100.0,-10.0
321,2743,0.0,-100.0
322,2753,80.0,-70.0
323,2766,-150.0,120.0
324,2776,-90.0,0.0
325,2782,80.0,-10.0
326,2789,-40.0,-150.0
327,2798,0.0,170.0
328,2808,-70.0,-10.0
329,2814,110.0,0.0
330,2821,60.0,10.0
331,2826,10.0,-90.0
332,2834,150.0,50.0
333,2844,-50.0,-120.0
334,2849,-10.0,-50.0
335,2853,110.0,0.0
336,2864,60.0,40.0
337,2876,30.0,30.0
338,2879,-10.0,-30.0
339,2891,60.0,10.0
340,2898,10.0,-60.0
341,2905,40.0,60.0
342,2917,-150.0,0.0
343,2926,0.0,-60.0
344,2938,-90.0,30.0
345,2948,0.0,30.0
346,2957,-50.0,-40.0
347,2965,110.0,-140.0
348,2973,-10.0,-40.0
349,2985,10.0,-60.0
350,2995,40.0,-50.0
351,3005,-170.0,130.0
352,3009,0.0,80.0
353,3018,10.0,-70.0
354,3024,-70.0,100.0
355,3028,100.0,0.0
356,3039,-160.0,20.0
357,3051,-160.0,0.0
358,3059,20.0,100.0
359,3065,20.0,-120.0
360,3079,20.0,160.0
