#TIME,UID,dx/dt,dy/dt
#TU=60
1,1,0.0,-100.0
2,3,10.0,130.0
3,6,0.0,140.0
4,7,100.0,0.0
5,8,0.0,-110.0
6,11,-190.0,-40.0
7,11,-110.0,-20.0
8,13,0.0,-210.0
9,14,30.0,-200.0
10,16,70.0,0.0
11,20,-120.0,80.0
12,20,-70.0,50.0
13,22,-20.0,-90.0
14,28,160.0,0.0
15,29,-130.0,140.0
16,31,-40.0,30.0
17,31,-30.0,30.0
18,33,0.0,-170.0
19,38,-90.0,-60.0
20,39,120.0,0.0
21,40,-130.0,-110.0
22,42,70.0,-70.0
23,46,170.0,-10.0
24,47,-130.0,120.0
25,48,-60.0,40.0
26,49,-10.0,-160.0
27,52,30.0,-200.0
28,54,120.0,0.0
29,56,-150.0,-120.0
30,57,0.0,-170.0
31,60,-80.0,20.0
32,61,110.0,80.0
33,61,60.0,40.0
34,62,60.0,-30.0
35,63,-140.0,0.0
36,65,40.0,-190.0
37,67,70.0,0.0
38,67,80.0,0.0
39,69,-90.0,-70.0
40,72,60.0,50.0
41,74,-50.0,-70.0
42,77,100.0,-50.0
43,80,-80.0,-10.0
44,81,30.0,-120.0
45,85,0.0,-130.0
46,88,0.0,70.0
47,92,80.0,-80.0
48,96,-40.0,-120.0
49,96,-10.0,-80.0
50,100,0.0,-150.0
51,102,30.0,-130.0
52,103,10.0,-40.0
53,105,-20.0,110.0
54,107,-10.0,-130.0
55,108,0.0,60.0
56,110,-90.0,-60.0
57,115,-170.0,-10.0
58,116,-60.0,10.0
59,118,-170.0,-100.0
60,120,120.0,70.0
61,123,0.0,-50.0
62,124,0.0,-80.0
63,126,0.0,120.0
64,130,0.0,70.0
65,134,0.0,-170.0
66,138,0.0,-160.0
67,140,10.0,60.0
68,140,10.0,70.0
69,140,10.0,70.0
70,142,0.0,-70.0
71,143,-10.0,-190.0
72,144,40.0,-190.0
73,144,20.0,-100.0
74,147,-40.0,-200.0
75,150,-10.0,-80.0
76,154,-70.0,40.0
77,156,20.0,-80.0
78,157,-170.0,0.0
79,158,100.0,60.0
80,158,90.0,50.0
81,162,10.0,90.0
82,164,-50.0,0.0
83,167,-130.0,60.0
84,168,-140.0,-100.0
85,172,0.0,70.0
86,172,0.0,70.0
87,174,-190.0,-10.0
88,177,0.0,-70.0
89,179,150.0,-20.0
90,181,0.0,-190.0
91,183,0.0,-120.0
92,185,0.0,110.0
93,187,150.0,0.0
94,190,60.0,50.0
95,190,60.0,50.0
96,191,0.0,-140.0
97,194,-10.0,-80.0
98,197,0.0,90.0
99,197,0.0,60.0
100,198,0.0,-90.0
101,198,0.0,-90.0
102,201,-140.0,80.0
103,201,-90.0,40.0
104,203,-80.0,-100.0
105,204,100.0,150.0
106,207,-70.0,0.0
107,209,-130.0,-10.0
108,210,0.0,110.0
109,212,-80.0,-70.0
110,214,0.0,180.0
111,217,-10.0,-170.0
112,218,0.0,70.0
113,218,0.0,80.0
114,221,0.0,-200.0
115,222,-40.0,-20.0
116,222,-40.0,-10.0
117,225,-110.0,-100.0
118,226,0.0,-100.0
119,227,160.0,0.0
120,230,-100.0,-50.0
121,232,-20.0,-20.0
122,234,90.0,100.0
123,235,0.0,-70.0
124,236,0.0,100.0
125,238,0.0,160.0
126,243,0.0,-110.0
127,244,0.0,-70.0
128,246,-80.0,10.0
129,247,0.0,-180.0
130,251,0.0,-60.0
131,251,0.0,-60.0
132,253,-90.0,70.0
133,255,-70.0,-60.0
134,256,90.0,-110.0
135,261,0.0,-120.0
136,262,0.0,50.0
137,266,130.0,140.0
138,268,10.0,-110.0
139,270,30.0,40.0
140,270,30.0,50.0
141,273,-10.0,-200.0
142,273,0.0,-110.0
143,276,-10.0,80.0
144,277,10.0,-130.0
145,282,80.0,0.0
146,283,20.0,160.0
147,287,-10.0,-200.0
148,287,0.0,-110.0
149,290,0.0,150.0
150,291,80.0,120.0
151,295,60.0,-30.0
152,298,-150.0,0.0
153,299,20.0,-160.0
154,301,0.0,100.0
155,303,0.0,-160.0
156,306,110.0,0.0
157,308,-90.0,10.0
158,310,70.0,90.0
159,312,0.0,170.0
160,313,-10.0,40.0
161,315,0.0,130.0
162,317,150.0,0.0
163,318,-50.0,60.0
164,319,-30.0,-150.0
165,322,-10.0,-100.0
166,322,0.0,-60.0
167,327,10.0,-100.0
168,327,10.0,-60.0
169,329,0.0,-60.0
170,330,-70.0,0.0
171,330,-40.0,0.0
172,333,10.0,80.0
173,335,-20.0,160.0
174,336,10.0,120.0
175,340,0.0,-110.0
176,343,0.0,160.0
177,344,-40.0,130.0
178,345,-70.0,-80.0
179,348,0.0,180.0
180,349,-110.0,-50.0
181,352,-20.0,110.0
182,353,30.0,-140.0
183,355,-180.0,40.0
184,357,-80.0,-70.0
185,360,0.0,80.0
186,361,200.0,10.0
187,364,0.0,-50.0
188,365,-60.0,60.0
189,368,0.0,-130.0
190,370,-60.0,50.0
191,372,-110.0,10.0
192,372,-60.0,0.0
193,375,0.0,-70.0
194,375,0.0,-50.0
195,379,-170.0,20.0
196,382,-110.0,0.0
197,383,-70.0,0.0
