#TIME,UID,dx/dt,dy/dt
#TU=60,,,
1,2,60,50
2,2,50,50
3,2,50,40
4,3,-20,-70
5,4,10,-150
6,5,0,150
7,5,0,80
8,7,20,-200
9,8,0,-120
10,8,0,-70
11,8,0,-70
12,8,0,-70
13,8,0,-70
14,8,0,-60
15,10,-90,-50
16,10,-50,-30
17,10,-50,-30
18,11,90,100
19,11,40,50
20,12,110,130
21,12,70,70
22,12,50,50
23,12,50,50
24,12,90,10
25,13,40,50
26,15,-30,-100
27,17,0,-110
28,17,0,-60
29,19,-90,-40
30,21,0,-160
31,23,40,-30
32,23,40,-40
33,24,-210,40
34,25,-70,50
35,26,-110,90
36,26,-60,50
37,26,-60,50
38,27,-80,-90
39,29,0,-110
40,31,10,-60
41,31,10,-60
42,31,0,-60
43,32,0,-80
44,33,0,-120
45,33,0,-60
46,33,0,-70
47,33,0,-60
48,34,-70,-60
49,35,60,70
50,37,90,-110
51,37,50,-70
52,38,60,-50
53,39,110,-80
54,39,70,-50
55,39,50,-30
56,39,70,-30
57,39,80,-10
58,41,0,40
59,41,0,50
60,41,0,40
61,41,0,40
62,42,-20,-130
63,43,-150,130
64,45,0,90
65,45,0,80
66,47,110,-60
67,47,60,-50
68,48,0,130
69,48,0,70
70,49,-60,0
71,49,-60,0
72,50,-180,0
73,50,-110,0
74,50,-100,0
75,51,-110,-100
76,51,-60,-60
77,51,-40,-40
78,52,-70,70
79,52,-40,40
80,53,180,0
81,55,70,70
82,57,0,-80
83,57,0,-70
84,58,-20,200
85,58,-10,110
86,58,-20,120
87,59,-20,-150
88,59,-10,-80
89,59,0,-80
90,59,0,-40
91,60,110,0
92,61,-30,-190
93,63,100,10
94,63,60,0
95,63,60,0
96,64,20,-180
97,64,10,-90
98,64,10,-100
99,64,80,-40
100,64,100,0
101,65,-180,0
102,66,-40,-170
103,68,0,70
104,69,20,130
105,70,0,120
106,71,-70,0
107,71,-70,0
108,71,-70,0
109,72,0,-90
110,73,150,0
111,75,-20,130
112,75,0,70
113,75,0,80
114,75,0,80
115,76,-10,80
116,76,0,80
117,77,100,-10
118,78,90,0
119,79,-180,40
120,80,0,-100
121,80,0,-60
122,80,0,-60
123,81,-120,-30
124,82,-80,-40
125,82,-80,-30
126,83,130,-60
127,83,70,-40
128,84,0,-180
129,84,0,-100
130,85,70,0
131,85,60,0
132,89,40,40
133,91,70,0
134,93,-170,-150
135,94,0,-170
136,95,-70,-60
137,95,-80,-50
138,95,-20,-90
139,96,0,-50
140,96,0,-50
141,96,0,-40
142,97,-70,-50
143,99,10,-140
144,99,10,-80
145,99,0,-40
146,99,0,-40
147,100,-150,90
148,100,-90,50
149,100,-80,50
150,101,-140,20
151,102,10,-70
152,102,0,-60
153,103,-110,-10
154,104,0,-130
155,104,-10,-60
156,104,-110,-20
157,105,0,-70
158,106,110,180
159,106,60,90
160,106,40,100
161,108,-10,-150
162,109,0,-180
163,109,0,-100
164,110,100,-110
165,111,-110,-20
166,112,100,0
167,113,0,140
168,115,-80,90
169,117,110,0
170,119,90,0
171,119,60,0
172,119,60,0
173,120,10,-70
174,121,0,-110
175,122,-50,-40
176,123,0,-160
177,125,40,-160
178,126,0,110
179,127,-10,160
180,127,-10,90
181,127,-10,90
182,127,0,80
183,128,0,-190
184,128,0,-110
185,129,-30,200
186,129,-20,120
187,130,90,-70
188,131,0,-160
189,133,0,-140
190,134,0,-100
191,136,-100,70
192,136,-60,40
193,137,-20,-80
194,139,-50,-210
195,139,-20,-110
196,139,-100,-20
197,139,-120,-10
198,140,0,-200
199,140,0,-100
200,140,0,-110
201,142,-100,0
202,142,-50,0
203,142,-60,0
204,144,-30,180
205,145,-10,-50
206,146,-80,-120
207,148,0,190
208,149,-20,-80
209,151,0,-140
210,152,0,-180
211,152,0,-100
212,154,0,150
213,156,0,-150
214,156,0,-90
215,158,210,0
216,158,120,0
217,160,30,-30
218,161,90,100
219,162,110,-70
220,162,60,-40
221,163,-10,-80
222,165,0,120
223,166,0,-80
224,166,-20,-90
225,166,-10,-80
226,167,-10,-80
227,167,-10,-80
228,168,140,0
229,168,80,0
230,169,-20,160
231,169,0,80
232,171,0,-100
233,171,0,-90
234,171,0,-100
235,172,50,-50
236,172,60,-50
237,172,50,-40
238,172,70,0
239,172,70,0
240,173,0,-140
241,174,0,-70
242,175,50,80
243,175,20,40
244,176,0,80
245,177,-70,60
246,177,-30,30
247,177,-30,30
248,177,-40,40
249,178,-40,-200
250,181,40,30
251,183,30,-110
252,183,20,-70
253,185,50,50
254,186,30,-120
255,188,-110,-90
256,189,-20,-40
257,190,-160,0
258,190,-90,0
259,190,-90,0
260,192,0,-100
261,193,90,-60
262,193,40,-30
263,193,60,-30
264,196,-80,-40
265,197,80,40
266,200,-90,70
267,200,-50,40
268,201,10,-50
269,204,0,-150
270,206,-10,150
271,208,-50,40
272,210,160,-110
273,211,-120,20
274,211,-70,10
275,213,-10,-100
276,213,0,-50
277,215,80,0
278,216,60,-220
279,216,10,-70
280,216,110,-30
281,216,120,-10
282,216,120,-10
283,217,90,0
284,217,90,0
285,218,-50,60
286,218,-30,30
287,218,-30,30
288,220,20,-170
289,222,0,-80
290,222,0,-90
291,223,0,-140
292,223,0,-80
293,224,80,10
294,226,0,-110
295,226,0,-60
296,228,0,-130
297,229,90,-10
298,229,50,0
299,229,60,0
300,229,50,0
301,230,0,70
302,233,150,10
303,233,90,0
304,234,-30,30
305,234,-20,40
306,234,-30,40
307,235,-100,-60
308,236,0,180
309,238,-20,100
310,239,50,60
311,239,40,70
312,239,40,60
313,239,30,70
314,239,20,80
315,241,0,-130
316,241,0,-80
317,241,0,-70
318,241,0,-70
319,241,0,-70
320,240,70,0
321,240,60,30
322,240,70,0
323,244,-200,-30
324,244,-110,-10
325,246,-80,10
326,247,0,-80
327,249,30,-120
328,251,60,-40
329,252,0,-120
330,252,0,-70
331,252,0,-70
332,252,0,-70
333,253,-130,160
334,256,-70,40
335,256,-70,30
336,256,-70,30
337,256,-70,10
338,258,-80,-60
339,259,230,20
340,260,50,90
341,262,-10,-90
342,263,-90,-80
343,263,-50,-40
344,263,-50,-50
345,264,0,140
346,266,0,-60
347,266,10,-70
348,267,90,-70
349,269,110,0
350,270,140,-70
351,272,0,-150
352,274,50,-80
353,274,90,-60
354,275,60,-40
355,277,-70,-30
356,277,-70,-40
357,277,-60,-30
358,277,-80,0
359,277,-80,0
360,277,-90,0
361,278,60,-60
362,279,-10,-200
363,281,-40,-150
364,282,-10,90
365,282,-10,80
366,282,-10,80
367,282,-10,40
368,284,110,110
369,284,60,60
370,285,80,0
371,286,-20,-160
372,286,0,-80
373,289,80,50
374,291,120,-90
375,291,50,-60
376,292,70,70
377,295,-100,100
378,297,30,-140
379,298,0,100
380,298,0,100
381,299,10,90
382,299,10,40
383,299,0,50
384,300,160,0
385,300,90,0
386,301,0,-140
387,301,0,-80
388,301,0,-70
389,302,-70,-90
390,303,-70,-90
391,303,-60,-30
392,304,100,90
393,305,30,80
394,305,0,50
395,305,0,50
396,305,0,50
397,307,-50,-30
398,307,-40,-30
399,308,100,100
400,308,70,60
401,309,-110,-80
402,310,60,100
403,313,-50,30
404,313,-50,40
405,315,-20,-160
406,316,-80,40
407,316,-70,40
408,317,110,-130
409,318,0,50
410,318,0,60
411,320,-90,70
412,320,-50,40
413,320,-50,40
414,320,-50,40
415,321,50,-40
416,321,50,-40
417,322,100,-100
418,323,-70,-50
419,323,-70,-50
420,323,-50,-40
421,323,0,-80
422,324,10,90
423,325,0,-180
424,328,-10,-80
425,328,0,-80
426,329,20,-100
427,329,10,-50
428,330,120,100
429,330,70,60
430,332,0,-60
431,333,-20,130
432,334,-170,0
433,336,0,-110
434,336,-10,-100
435,337,60,80
436,337,30,50
437,337,30,40
438,338,-10,130
439,339,0,60
440,340,-20,-170
441,341,0,110
442,341,0,60
443,342,-20,-70
444,342,0,-50
445,343,10,-100
446,343,0,-110
447,343,0,-50
448,343,90,-10
449,344,90,-90
450,345,-170,-10
451,347,-10,60
452,349,-80,60
453,349,-50,30
454,349,-40,40
455,350,-10,190
456,350,0,110
457,350,0,100
458,351,-160,-20
459,351,-80,-10
460,351,-90,-20
