#TIME,UID,dx/dt,dy/dt
#TU=60
4,1,0.0,-90.0
5,1,0.0,-90.0
6,1,0.0,-80.0
7,2,-90.0,50.0
8,2,-90.0,40.0
9,2,-80.0,50.0
10,3,0.0,-80.0
11,3,0.0,-70.0
12,3,0.0,-70.0
13,3,0.0,-70.0
14,3,0.0,-70.0
15,3,0.0,-70.0
16,4,0.0,80.0
17,4,0.0,80.0
18,4,0.0,70.0
19,4,0.0,80.0
20,4,0.0,70.0
21,5,10.0,210.0
22,5,0.0,120.0
23,5,0.0,130.0
24,6,-190.0,0.0
25,6,-110.0,0.0
26,7,10.0,-100.0
27,7,20.0,-60.0
28,7,10.0,-60.0
29,7,10.0,-50.0
30,7,0.0,-30.0
31,7,50.0,-10.0
32,7,60.0,0.0
33,7,60.0,0.0
34,7,50.0,0.0
35,7,60.0,0.0
36,8,-90.0,0.0
37,9,50.0,0.0
38,9,60.0,0.0
39,9,60.0,0.0
40,10,-90.0,80.0
41,10,-80.0,70.0
42,10,-30.0,110.0
43,10,0.0,120.0
44,11,80.0,0.0
45,11,50.0,0.0
46,11,40.0,0.0
47,11,50.0,0.0
48,11,50.0,0.0
49,12,0.0,-80.0
50,12,0.0,-80.0
51,13,0.0,-140.0
52,13,0.0,-70.0
53,13,0.0,-80.0
54,13,0.0,-80.0
55,13,0.0,-80.0
56,13,0.0,-80.0
57,13,0.0,-70.0
58,14,40.0,30.0
59,14,30.0,30.0
60,14,30.0,30.0
61,14,40.0,40.0
62,14,40.0,30.0
63,14,30.0,30.0
64,15,0.0,-50.0
65,17,110.0,70.0
66,18,130.0,-60.0
67,20,0.0,90.0
68,20,0.0,70.0
69,23,40.0,-130.0
70,23,20.0,-70.0
71,24,-80.0,-50.0
72,24,-40.0,-30.0
73,24,-40.0,-30.0
74,25,-30.0,-90.0
75,25,-10.0,-60.0
76,25,-10.0,-50.0
77,25,-20.0,-50.0
78,25,-10.0,-30.0
79,25,-50.0,-10.0
80,25,-50.0,0.0
81,25,-60.0,0.0
82,25,-50.0,0.0
83,25,-60.0,0.0
84,25,-50.0,0.0
85,25,-50.0,0.0
86,25,-50.0,0.0
87,25,-50.0,0.0
88,25,-50.0,0.0
89,25,-60.0,0.0
90,26,0.0,90.0
91,26,0.0,50.0
92,26,0.0,60.0
93,26,0.0,50.0
94,26,0.0,50.0
95,28,0.0,-120.0
96,28,0.0,-70.0
97,29,-20.0,110.0
98,30,0.0,140.0
99,30,0.0,70.0
100,30,0.0,80.0
101,30,0.0,70.0
102,31,-150.0,-100.0
103,32,70.0,0.0
104,32,60.0,0.0
105,32,60.0,0.0
106,32,70.0,0.0
107,32,60.0,0.0
108,32,70.0,0.0
109,32,40.0,-10.0
110,32,-10.0,-60.0
111,33,0.0,-130.0
112,34,70.0,0.0
113,34,70.0,0.0
114,34,70.0,0.0
115,34,70.0,0.0
116,34,70.0,0.0
117,35,0.0,-150.0
118,35,0.0,-80.0
119,36,60.0,-30.0
120,36,30.0,-20.0
121,36,30.0,-20.0
122,36,30.0,-20.0
123,37,0.0,160.0
124,37,0.0,90.0
125,37,0.0,100.0
126,37,0.0,90.0
127,37,0.0,90.0
128,37,0.0,90.0
129,37,0.0,90.0
130,37,0.0,90.0
131,37,0.0,100.0
132,37,0.0,90.0
133,37,0.0,100.0
134,37,0.0,90.0
135,37,0.0,90.0
136,38,10.0,-40.0
137,39,0.0,110.0
138,41,10.0,-110.0
139,41,10.0,-60.0
140,44,-110.0,90.0
141,44,-60.0,50.0
142,44,-60.0,50.0
143,44,-50.0,40.0
144,44,-10.0,80.0
145,45,70.0,0.0
146,45,60.0,0.0
147,46,10.0,-150.0
148,48,0.0,90.0
149,49,-110.0,-100.0
150,49,-60.0,-60.0
151,50,40.0,0.0
152,50,30.0,0.0
153,50,40.0,0.0
154,52,50.0,70.0
155,52,50.0,80.0
156,53,-60.0,80.0
157,54,0.0,-90.0
158,54,0.0,-80.0
159,54,0.0,-90.0
160,54,0.0,-90.0
161,54,0.0,-90.0
162,54,0.0,-90.0
163,54,0.0,-90.0
164,54,0.0,-90.0
165,54,0.0,-90.0
166,54,0.0,-90.0
167,54,0.0,-90.0
168,55,-80.0,10.0
169,55,-50.0,10.0
170,55,-40.0,0.0
171,56,70.0,60.0
172,56,40.0,30.0
173,57,140.0,-80.0
174,58,-30.0,180.0
