#TIME,UID,dx/dt,dy/dt
#TU=60
0,2,-150.0,-10.0
1,3,-60.0,170.0
2,3,0.0,100.0
3,8,-120.0,0.0
4,8,-70.0,0.0
5,8,-70.0,0.0
6,12,-60.0,0.0
7,12,-60.0,0.0
8,12,-60.0,0.0
9,12,-60.0,0.0
10,13,140.0,0.0
11,13,80.0,0.0
12,15,-170.0,-10.0
13,15,-90.0,-10.0
14,15,-90.0,0.0
15,17,-70.0,100.0
16,17,-20.0,60.0
17,17,-20.0,60.0
18,17,-20.0,60.0
19,17,-40.0,50.0
20,17,-50.0,50.0
21,17,-50.0,50.0
22,17,-40.0,50.0
23,17,-50.0,40.0
24,17,-40.0,50.0
25,17,-40.0,50.0
26,17,-40.0,50.0
27,18,150.0,-20.0
28,18,80.0,-10.0
29,18,80.0,0.0
30,21,-110.0,0.0
31,23,-150.0,-30.0
32,23,-70.0,0.0
33,23,-100.0,30.0
34,25,-70.0,100.0
35,25,-50.0,30.0
36,25,-10.0,60.0
37,25,-10.0,60.0
38,25,-40.0,50.0
39,25,-40.0,50.0
40,25,-30.0,60.0
41,25,-30.0,50.0
42,25,-50.0,50.0
43,25,-40.0,50.0
44,25,-50.0,50.0
45,25,-50.0,50.0
46,27,0.0,170.0
47,27,10.0,90.0
48,27,0.0,100.0
49,30,-60.0,160.0
50,30,-30.0,90.0
51,30,-20.0,90.0
52,30,-60.0,70.0
53,30,-70.0,80.0
54,30,-70.0,70.0
55,30,-60.0,80.0
56,30,-70.0,70.0
57,31,80.0,-10.0
58,31,70.0,10.0
59,31,60.0,10.0
60,31,80.0,0.0
61,31,80.0,0.0
62,31,80.0,0.0
63,31,80.0,0.0
64,31,90.0,-10.0
65,31,80.0,-10.0
66,31,90.0,-10.0
67,31,80.0,0.0
68,31,80.0,-10.0
69,31,90.0,0.0
70,32,160.0,10.0
71,32,90.0,0.0
72,33,-140.0,0.0
73,33,-80.0,0.0
74,33,-80.0,0.0
75,33,-70.0,0.0
76,34,-50.0,120.0
77,34,-30.0,70.0
78,34,-20.0,60.0
79,34,-20.0,60.0
80,34,-30.0,70.0
81,34,-40.0,60.0
82,35,-170.0,0.0
83,35,-100.0,0.0
84,35,-100.0,0.0
85,36,-120.0,-10.0
86,36,-60.0,0.0
87,36,-60.0,0.0
88,36,-60.0,0.0
89,36,-70.0,0.0
90,37,90.0,0.0
91,37,80.0,0.0
92,37,80.0,0.0
93,39,80.0,-10.0
94,39,40.0,0.0
95,39,40.0,-10.0
96,41,60.0,0.0
97,42,-100.0,0.0
98,42,-60.0,0.0
99,42,-60.0,0.0
100,44,-130.0,-10.0
101,44,-70.0,-10.0
102,44,-70.0,-10.0
103,44,-70.0,0.0
104,44,-60.0,-10.0
105,47,-80.0,-10.0
106,47,-80.0,-10.0
107,46,-20.0,-50.0
108,72,80.0,80.0
109,123,-70.0,10.0
110,123,-60.0,0.0
111,123,-60.0,0.0
112,123,-60.0,0.0
113,123,-90.0,0.0
114,123,-80.0,10.0
115,123,-90.0,0.0
116,123,-80.0,10.0
117,128,-10.0,80.0
118,128,-10.0,50.0
119,128,0.0,40.0
120,130,130.0,-50.0
121,130,90.0,0.0
122,130,80.0,0.0
123,130,80.0,0.0
124,133,-50.0,110.0
125,133,-30.0,70.0
126,136,50.0,0.0
127,136,60.0,0.0
128,136,50.0,0.0
129,136,50.0,0.0
130,136,60.0,0.0
131,136,40.0,0.0
132,136,50.0,0.0
133,136,50.0,-10.0
134,136,50.0,0.0
135,136,60.0,0.0
136,136,50.0,0.0
137,136,60.0,0.0
138,136,50.0,0.0
139,136,50.0,0.0
140,136,60.0,0.0
141,138,-130.0,0.0
142,138,-70.0,0.0
143,138,-60.0,0.0
144,138,-70.0,0.0
145,138,-80.0,-10.0
146,138,-70.0,0.0
147,138,-60.0,0.0
148,138,-70.0,0.0
149,138,-80.0,0.0
150,140,-60.0,0.0
151,140,-60.0,0.0
152,140,-70.0,-10.0
153,144,-90.0,140.0
154,144,-70.0,60.0
155,144,-40.0,60.0
156,144,-30.0,60.0
157,146,170.0,0.0
158,146,100.0,0.0
159,147,-100.0,-10.0
160,147,-60.0,0.0
161,147,-50.0,0.0
162,150,-80.0,0.0
163,150,-90.0,-10.0
164,150,-80.0,-10.0
165,151,100.0,0.0
166,152,120.0,-10.0
167,152,70.0,-10.0
168,152,70.0,10.0
169,152,30.0,0.0
170,152,20.0,10.0
171,152,30.0,10.0
172,152,70.0,0.0
173,152,70.0,0.0
174,152,70.0,-10.0
175,152,60.0,-10.0
176,152,70.0,0.0
177,152,70.0,-10.0
178,152,70.0,-10.0
179,152,70.0,0.0
180,152,70.0,0.0
181,152,70.0,0.0
182,152,60.0,-10.0
183,153,200.0,20.0
184,155,120.0,0.0
185,155,70.0,10.0
186,159,-180.0,10.0
187,159,-110.0,0.0
188,159,-100.0,0.0
189,160,50.0,90.0
190,160,-10.0,30.0
191,160,-10.0,20.0
192,160,-20.0,60.0
193,160,-20.0,60.0
194,160,-20.0,60.0
195,162,-200.0,-20.0
196,164,180.0,-10.0
197,164,90.0,0.0
198,167,-80.0,0.0
199,167,-80.0,-10.0
200,167,-90.0,-10.0
201,167,-90.0,0.0
202,167,-90.0,-10.0
203,167,-80.0,-10.0
204,166,-100.0,-10.0
205,166,-70.0,-10.0
206,166,-70.0,0.0
207,166,-100.0,-10.0
208,166,-50.0,30.0
209,166,-50.0,40.0
210,166,-60.0,50.0
211,168,150.0,-30.0
212,168,80.0,-10.0
213,170,-10.0,40.0
214,170,-20.0,50.0
215,170,-10.0,40.0
216,171,-40.0,80.0
217,171,-20.0,80.0
218,171,-20.0,80.0
219,172,0.0,90.0
220,172,10.0,50.0
221,172,-10.0,50.0
222,173,-20.0,210.0
223,173,-10.0,70.0
224,173,60.0,60.0
225,173,-40.0,100.0
226,174,-110.0,-20.0
227,174,-60.0,0.0
228,174,-80.0,0.0
229,174,-80.0,0.0
230,174,-90.0,0.0
231,175,-150.0,0.0
232,177,190.0,10.0
233,177,80.0,-50.0
234,177,80.0,-40.0
235,178,-30.0,180.0
236,178,-10.0,90.0
237,178,-10.0,100.0
238,178,-10.0,100.0
239,178,-10.0,100.0
240,178,-10.0,100.0
241,178,-10.0,90.0
242,178,-20.0,100.0
243,177,120.0,10.0
244,177,120.0,0.0
245,177,110.0,10.0
246,179,-30.0,50.0
247,179,0.0,50.0
248,179,10.0,50.0
249,179,-30.0,50.0
250,180,-40.0,90.0
251,180,-20.0,50.0
252,180,-20.0,50.0
253,180,-30.0,50.0
254,180,-20.0,50.0
255,183,-40.0,90.0
256,183,-40.0,90.0
257,183,-30.0,100.0
258,183,0.0,90.0
259,184,0.0,140.0
260,184,0.0,80.0
261,184,0.0,80.0
262,184,0.0,70.0
263,184,0.0,80.0
264,186,-150.0,0.0
265,186,-90.0,0.0
266,186,-80.0,0.0
267,186,-90.0,0.0
268,186,-90.0,0.0
269,186,-90.0,0.0
270,187,50.0,0.0
271,187,50.0,10.0
272,187,50.0,0.0
273,187,40.0,0.0
274,188,-30.0,130.0
275,188,-20.0,70.0
276,188,-20.0,80.0
